,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
419,419,surimi,28,0.3,0.059,0.043,0.1,1.9,0
420,420,chinook salmon cooked,711,41.2,9.9,17.7,8.2,0,0
421,421,mullet cooked,140,4.5,1.3,1.3,0.9,0,0
422,422,chum salmon raw,3,0.1,0.080,0.035,0.037,0,0
423,423,butterfish raw,47,2.6,1.1,1.1,0.2,0,0
424,424,sea bass cooked,125,2.6,0.7,0.5,1,0,0
425,425,greenland halibut raw,759,56.5,9.9,34.2,5.6,0,0
426,426,halibut raw,371,5.4,1.2,1.9,1.2,0,0
427,427,sturgeon cooked,184,7,1.6,3.4,1.2,0,0
428,428,fish fillet fried,211,11.2,2.6,2.3,5.7,15.4,0
429,429,rainbow trout raw,111,4.9,1.1,1.6,1.2,0,0
430,430,pout raw,278,3.2,1.1,1.2,0.1,0,0
431,431,rainbow smelt cooked,35,0.9,0.2,0.2,0.3,0,0
432,432,monkfish raw,22,0.4,0.079,0.074,0.2,0,0
433,433,trout raw,117,5.2,0.9,2.6,1.2,0,0
434,434,shark raw,37,1.3,0.3,0.5,0.3,0,0
435,435,burbot raw,104,0.9,0.2,0.2,0.3,0,0
436,436,dolphinfish cooked,173,1.4,0.4,0.2,0.3,0,0
437,437,crayfish cooked,25,0.4,0.089,0.022,0.1,0,0
438,438,dolphinfish raw,173,1.4,0.4,0.2,0.3,0,0
439,439,perch cooked,54,0.5,0.1,0.029,0.2,0,0
440,440,cusk raw,106,0.8,0.2,0.1,0.3,0,0
441,441,bluefin tuna raw,41,1.4,0.4,0.5,0.4,0,0
442,442,milkfish cooked,54,2.4,0,0,0,0,0
443,443,carp raw,277,12.2,2.4,5.1,3.1,0,0
444,444,sturgeon raw,30,1.1,0.3,0.5,0.2,0,0
445,445,orange roughy raw,22,0.2,0.057,0.051,0.086,0,0
446,446,catfish fried,199,11.6,2.9,4.9,2.9,7,0
447,447,cuttlefish raw,22,0.2,0.002,0.088,0.069,0.2,0
448,448,bass raw,90,2.9,0.6,1.1,0.8,0,0
449,449,flounder cooked,109,3,0.7,0.8,0.6,0,0
450,450,milkfish raw,42,1.9,0.5,0.7,0.5,0,0
451,451,eel raw,375,23.8,4.8,14.7,1.9,0,0
452,452,catfish raw,189,9.4,2.1,4.1,1.8,0,0
453,453,fish sticks,78,4.5,1,0.9,2.2,6.1,0.5
454,454,coho salmon raw,254,12.2,2.9,5.3,3,0,0
455,455,monkfish cooked,27,0.6,0,0,0,0,0
456,456,yellowtail cooked,546,19.6,0,0,0,0,0
457,457,yellowfin tuna cooked,37,0.2,0.054,0.095,0.038,0,0
458,458,ling cooked,168,1.2,0,0,0,0,0
459,459,eel cooked,67,4.2,0.9,2.6,0.3,0,0
460,460,sablefish raw,753,59.1,12.4,31.1,7.9,0,0
461,461,salmon nuggets,60,3.3,0.4,1.3,0.9,4,0
462,462,yellowtail raw,546,19.6,4.8,7.4,5.3,0,0
463,463,butterfish cooked,47,2.6,0,0,0,0,0
464,464,caviar,42,2.9,0.6,0.7,1.2,0.6,0
465,465,pollock raw,355,3.8,0.5,0.4,1.9,0,0
466,466,catfish cooked,206,10.3,2.3,4.5,1.9,0,0
467,467,whiting raw,83,1.2,0.2,0.3,0.4,0,0
468,468,pink salmon raw,404,14,2.6,4.3,2.6,0,0
469,469,yellowfin tuna raw,31,0.1,0.073,0.008,0.026,0,0
470,470,mackerel raw,230,15.6,3.6,6.1,3.8,0,0
471,471,turbot raw,388,12,3.1,2.5,3.6,0,0
